Comparison,Threshold,Run,t,p
GlcGlc-GlcCit,0.9,5,-14.947334102578,1.91144247343321e-46
CitCit-GlcCit,0.9,5,-13.8355234137436,1.67254469591573e-37
GlcGlc-CitCit,0.91,5,1.12138242013872,0.262516727021161
GlcGlc-GlcCit,0.91,5,-17.2981598235085,1.25962955030194e-59
CitCit-GlcCit,0.91,5,-15.5559695193392,3.43191004335889e-45
GlcGlc-CitCit,0.92,5,2.03047401231764,0.0427145198335107
GlcGlc-GlcCit,0.92,5,-18.2937531639658,4.53381033824252e-65
CitCit-GlcCit,0.92,5,-18.1611075364385,2.20473959266944e-57
GlcGlc-CitCit,0.93,5,1.42247563702358,0.155456893690496
GlcGlc-GlcCit,0.93,5,-20.1606829835081,2.75950820285955e-76
CitCit-GlcCit,0.93,5,-18.5491183807189,3.46510499507871e-58
GlcGlc-CitCit,0.94,5,1.74672089896077,0.0812821771647386
GlcGlc-GlcCit,0.94,5,-20.3754757221692,1.52800873319806e-76
CitCit-GlcCit,0.94,5,-19.2127217702826,2.46963093291717e-60
GlcGlc-CitCit,0.95,5,2.06695581306315,0.0392942137773505
GlcGlc-GlcCit,0.95,5,-21.2725281735103,3.80575748472077e-80
CitCit-GlcCit,0.95,5,-20.3885602663062,3.42035596945937e-64
GlcGlc-CitCit,0.96,5,2.21847355292439,0.0270868543810264
GlcGlc-GlcCit,0.96,5,-19.854626817439,1.39979798065126e-69
CitCit-GlcCit,0.96,5,-20.0161693764501,2.11892674156492e-60
GlcGlc-CitCit,0.97,5,1.69902199430854,0.0901987677245366
GlcGlc-GlcCit,0.97,5,-21.4472688061783,2.1781412733868e-75
CitCit-GlcCit,0.97,5,-20.8241893906203,1.70325942030565e-61
GlcGlc-CitCit,0.98,5,1.20642928862461,0.228926558490501
GlcGlc-GlcCit,0.98,5,-21.6043100628648,2.51319385216834e-72
CitCit-GlcCit,0.98,5,-19.4658433104613,7.84435921678445e-48
GlcGlc-CitCit,0.99,5,3.50814217511131,0.00053209318546077
GlcGlc-GlcCit,0.99,5,-18.6428853374881,2.23018722711459e-53
CitCit-GlcCit,0.99,5,-26.2543890235868,1.50656648942227e-69
GlcGlc-CitCit,0.9925,5,3.23685950868514,0.00138368306427581
GlcGlc-GlcCit,0.9925,5,-17.7643122165193,4.47497344916646e-48
CitCit-GlcCit,0.9925,5,-25.1671350453071,1.94044677066285e-63
GlcGlc-CitCit,0.995,5,2.30664925528171,0.0222459279911459
GlcGlc-GlcCit,0.995,5,-17.743714057606,6.75186689111434e-43
CitCit-GlcCit,0.995,5,-25.7524254030213,3.950220482964e-58
GlcGlc-CitCit,0.9,6,-1.08799399292811,0.277096974107612
GlcGlc-GlcCit,0.9,6,-15.0884363285754,5.28708720637803e-47
CitCit-GlcCit,0.9,6,-10.1572993987851,9.2526203850623e-22
GlcGlc-CitCit,0.91,6,-2.73383596524121,0.00651225422306883
GlcGlc-GlcCit,0.91,6,-15.0693731506022,1.51823876302093e-46
CitCit-GlcCit,0.91,6,-7.95974933828763,2.29746485755352e-14
GlcGlc-CitCit,0.92,6,-1.54752667354873,0.122503897115728
GlcGlc-GlcCit,0.92,6,-15.1316732494933,2.87755001622426e-46
CitCit-GlcCit,0.92,6,-9.63290740050422,1.8738508208833e-19
GlcGlc-CitCit,0.93,6,-0.198751600880447,0.842567194700324
GlcGlc-GlcCit,0.93,6,-14.3164758229478,1.22868133875406e-41
CitCit-GlcCit,0.93,6,-10.8269413038685,4.37863587368772e-23
GlcGlc-CitCit,0.94,6,-0.307333366807359,0.758761453163028
GlcGlc-GlcCit,0.94,6,-14.4939333643065,8.10886860653647e-42
CitCit-GlcCit,0.94,6,-11.3546463650694,8.17869908687454e-25
GlcGlc-CitCit,0.95,6,0.240843497480561,0.809828153973476
GlcGlc-GlcCit,0.95,6,-15.0392417276942,1.65000827823022e-43
CitCit-GlcCit,0.95,6,-12.7349395733558,7.77515664015036e-29
GlcGlc-CitCit,0.96,6,0.626494608686085,0.531433799278583
GlcGlc-GlcCit,0.96,6,-15.750211925602,1.40676452966036e-45
CitCit-GlcCit,0.96,6,-14.4332538258763,1.50774976136414e-34
GlcGlc-CitCit,0.97,6,0.55065315818776,0.582275772295458
GlcGlc-GlcCit,0.97,6,-14.5772355276485,1.6787669856654e-38
CitCit-GlcCit,0.97,6,-13.84613190624,3.67243388107481e-32
GlcGlc-CitCit,0.98,6,1.94569987399769,0.052929950328104
GlcGlc-GlcCit,0.98,6,-16.2884016018723,1.22454813232891e-42
CitCit-GlcCit,0.98,6,-16.8951080838326,3.12728303887198e-36
GlcGlc-CitCit,0.99,6,6.29233532585713,1.72639716145993e-09
GlcGlc-GlcCit,0.99,6,-11.4255098723232,8.88079756243864e-23
CitCit-GlcCit,0.99,6,-23.3143692854679,1.08026049338195e-37
GlcGlc-CitCit,0.9925,6,7.50232227505089,3.4248777567778e-12
GlcGlc-GlcCit,0.9925,6,-9.69423391615662,3.12175217379061e-16
CitCit-GlcCit,0.9925,6,-23.6841431443543,4.6895907413027e-21
GlcGlc-CitCit,0.995,6,6.11432505321207,2.03361311856477e-08
GlcGlc-GlcCit,0.995,6,-7.02714748321498,2.65604014208866e-10
CitCit-GlcCit,0.995,6,-22.7586799248525,3.67562370450303e-21
GlcGlc-CitCit,0.9,7,-0.1642188981914,0.869620990270459
GlcGlc-GlcCit,0.9,7,-12.2121920946975,2.44433307886961e-32
CitCit-GlcCit,0.9,7,-8.50829943636299,3.23473689086313e-16
