Comparison,Threshold,Run,t,p
CitCit-GlcCit,0.98,24,-1.36537534101746,0.17487075672408
GlcGlc-CitCit,0.98,25,1.79184237231769,0.0757371188930246
GlcGlc-GlcCit,0.98,25,-2.43153397038893,0.0160936019493246
CitCit-GlcCit,0.98,25,-4.14015952043455,6.62022956585213e-05
GlcGlc-CitCit,0.98,26,-0.119971991556218,0.904841215935787
GlcGlc-GlcCit,0.98,26,-0.152080446083237,0.879540683929438
CitCit-GlcCit,0.98,26,-0.0543095697741878,0.956850646909155
GlcGlc-CitCit,0.98,27,1.13223161177072,0.259984294302572
GlcGlc-GlcCit,0.98,27,0.841741162025973,0.401732514823142
CitCit-GlcCit,0.98,27,-0.149661059085466,0.881348100956491
GlcGlc-CitCit,0.98,28,0.330786707754894,0.74192679671291
GlcGlc-GlcCit,0.98,28,0.686020529493418,0.493760487132159
CitCit-GlcCit,0.98,28,0.260826678812688,0.795070128940532
GlcGlc-CitCit,0.98,29,1.30267295133147,0.195749173887503
GlcGlc-GlcCit,0.98,29,-0.0540481136610709,0.95696069151338
CitCit-GlcCit,0.98,29,-1.16434680353601,0.246591663194579
GlcGlc-CitCit,0.98,30,0.0061974921335977,0.995063083152803
GlcGlc-GlcCit,0.98,30,-0.907537772596265,0.365367926911052
CitCit-GlcCit,0.98,30,-0.85434426693756,0.394241423019282
GlcGlc-CitCit,0.98,31,0.126722825391223,0.899334911295466
GlcGlc-GlcCit,0.98,31,1.63880624327226,0.102878667933315
CitCit-GlcCit,0.98,31,1.52628552993327,0.129111495097917
GlcGlc-CitCit,0.98,32,1.64366598826201,0.107194577170313
GlcGlc-GlcCit,0.98,32,-0.0811493987816104,0.935604752864633
CitCit-GlcCit,0.98,32,-1.28964054669852,0.201679976245783
GlcGlc-CitCit,0.98,33,1.75104307640273,0.0906142240639708
GlcGlc-GlcCit,0.98,33,-0.396271757859695,0.694871040228851
CitCit-GlcCit,0.98,33,-1.55021277847926,0.128175468455826
GlcGlc-CitCit,0.98,34,1.54203056441097,0.128964488723779
GlcGlc-GlcCit,0.98,34,1.2544489696107,0.212908301974148
CitCit-GlcCit,0.98,34,-0.260288847298013,0.795725258510323
GlcGlc-CitCit,0.98,35,-0.642344812531807,0.521958775193594
GlcGlc-GlcCit,0.98,35,-1.17136447974994,0.244681544404915
CitCit-GlcCit,0.98,35,-0.710001960109964,0.479932327183203
GlcGlc-CitCit,0.98,36,-0.0840099925654674,0.933577260312253
GlcGlc-GlcCit,0.98,36,1.06602271017532,0.290073979037401
CitCit-GlcCit,0.98,36,0.882994655939369,0.381212607243158
GlcGlc-CitCit,0.98,37,-0.657900278385292,0.51488322818932
GlcGlc-GlcCit,0.98,37,-2.40142231740533,0.0181285379426362
CitCit-GlcCit,0.98,37,-1.22440951539041,0.228093342499674
GlcGlc-CitCit,0.98,38,3.74299586137879,0.000372701589462634
GlcGlc-GlcCit,0.98,38,-1.16552744145546,0.245859442892875
CitCit-GlcCit,0.98,38,-4.48174790304146,2.59221408664562e-05
GlcGlc-CitCit,0.98,39,4.70306442804711,9.70746159472481e-06
GlcGlc-GlcCit,0.98,39,1.59118533050895,0.114044222323554
CitCit-GlcCit,0.98,39,-3.10983298955109,0.00262260140145269
GlcGlc-CitCit,0.98,40,-1.17249262114205,0.243634047389592
GlcGlc-GlcCit,0.98,40,-0.268924684230015,0.789057388824554
CitCit-GlcCit,0.98,40,0.689261210469836,0.493223062674101
GlcGlc-CitCit,0.98,41,0.876496351161104,0.383352464955254
GlcGlc-GlcCit,0.98,41,-0.0678636143541492,0.945956364464852
CitCit-GlcCit,0.98,41,-0.874036209984189,0.384257325735778
GlcGlc-CitCit,0.98,42,-2.24819807807147,0.0376567801933402
GlcGlc-GlcCit,0.98,42,-2.67431123032041,0.00990162578604531
CitCit-GlcCit,0.98,42,0.345860042864793,0.732201463344548
GlcGlc-CitCit,0.98,43,-0.993811454917436,0.323967472925691
GlcGlc-GlcCit,0.98,43,-0.466111043755459,0.641958964882651
CitCit-GlcCit,0.98,43,0.442717705054984,0.659099793270759
GlcGlc-CitCit,0.98,44,0.901969641550076,0.370363060818829
GlcGlc-GlcCit,0.98,44,-1.08115085897623,0.282535961561873
CitCit-GlcCit,0.98,44,-1.61273916780991,0.11028955150899
GlcGlc-CitCit,0.98,45,1.91185340215729,0.0580065980512353
GlcGlc-GlcCit,0.98,45,3.15585845257662,0.00187477035930226
CitCit-GlcCit,0.98,45,1.7729108309239,0.0785128822244081
GlcGlc-CitCit,0.98,46,2.62090408143788,0.00999243693601517
GlcGlc-GlcCit,0.98,46,-1.68611839198175,0.0942223858603004
CitCit-GlcCit,0.98,46,-5.2759429826623,1.04080529266389e-06
GlcGlc-CitCit,0.98,47,3.04742102814513,0.00341924865071053
GlcGlc-GlcCit,0.98,47,0.898852418837219,0.369736388796076
