Comparison,Threshold,Run,t,p
One-Neither,0.995,2,,
Both-One,0.9,3,-0.47276469766138,0.6395739027364
Both-Neither,0.9,3,2.75109265094376,0.0137929686602923
One-Neither,0.9,3,4.06580710077166,0.000371283545971124
Both-One,0.91,3,-0.47276469766138,0.6395739027364
Both-Neither,0.91,3,2.81160347925763,0.0121668031483415
One-Neither,0.91,3,4.14035420545569,0.00030559491982135
Both-One,0.92,3,-0.47276469766138,0.6395739027364
Both-Neither,0.92,3,3.45313306538199,0.00308803943411252
One-Neither,0.92,3,4.91665146147982,3.75344060167879e-05
Both-One,0.93,3,-0.47276469766138,0.6395739027364
Both-Neither,0.93,3,3.45313306538199,0.00308803943411252
One-Neither,0.93,3,4.91665146147982,3.75344060167879e-05
Both-One,0.94,3,-0.47276469766138,0.6395739027364
Both-Neither,0.94,3,3.45313306538199,0.00308803943411252
One-Neither,0.94,3,4.91665146147982,3.75344060167879e-05
Both-One,0.95,3,-0.47276469766138,0.6395739027364
Both-Neither,0.95,3,3.47313521819607,0.00294899791202245
One-Neither,0.95,3,4.93909465246933,3.50206694585467e-05
Both-One,0.96,3,-0.47276469766138,0.6395739027364
Both-Neither,0.96,3,3.47313521819607,0.00294899791202245
One-Neither,0.96,3,4.93909465246933,3.50206694585467e-05
Both-One,0.97,3,-0.822409263120328,0.416995010879224
Both-Neither,0.97,3,3.4868380825809,0.00282264145480048
One-Neither,0.97,3,5.44043108723332,1.16118341812476e-05
Both-One,0.98,3,-1.52509712425408,0.137690024336156
Both-Neither,0.98,3,3.53373309740956,0.00253875258185933
One-Neither,0.98,3,6.51581040249818,2.11086461232749e-06
Both-One,0.99,3,-6.00610436301309,2.86471518346695e-06
Both-Neither,0.99,3,4.89892921154846,3.38207544162855e-05
One-Neither,0.99,3,10.7922477898547,5.26624974615792e-10
Both-One,0.9925,3,-3.62948951450436,0.00480425165664681
Both-Neither,0.9925,3,4.86766571682424,3.27251740764074e-05
One-Neither,0.9925,3,6.27634702917825,0.000195136361289101
Both-One,0.995,3,,
Both-Neither,0.995,3,,
One-Neither,0.995,3,,
Both-One,0.9,4,0.097422290610515,0.923455901461004
Both-Neither,0.9,4,5.62410619740763,6.41556697698854e-06
One-Neither,0.9,4,2.39845073687607,0.0320298569674055
Both-One,0.91,4,1.27730113928796,0.221729087865655
Both-Neither,0.91,4,5.72970993317977,4.81334646005519e-06
One-Neither,0.91,4,1.24795240090206,0.240202037730595
Both-One,0.92,4,5.6036820470418,3.20318897818208e-06
Both-Neither,0.92,4,5.81080556952183,3.83936058913259e-06
One-Neither,0.92,4,-0.721431657788959,0.487590277322361
Both-One,0.93,4,5.48968512623813,6.06384018358783e-06
Both-Neither,0.93,4,5.97548307965425,3.53456847530847e-06
One-Neither,0.93,4,-0.721431657788959,0.487590277322361
Both-One,0.94,4,5.48968512623813,6.06384018358783e-06
Both-Neither,0.94,4,5.97548307965425,3.53456847530847e-06
One-Neither,0.94,4,-0.721431657788959,0.487590277322361
Both-One,0.95,4,5.48968512623813,6.06384018358783e-06
Both-Neither,0.95,4,5.97548307965425,3.53456847530847e-06
One-Neither,0.95,4,-0.721431657788959,0.487590277322361
Both-One,0.96,4,5.48968512623813,6.06384018358783e-06
Both-Neither,0.96,4,5.92659691005911,3.8570995521665e-06
One-Neither,0.96,4,-0.770114576554541,0.459182941028883
Both-One,0.97,4,5.48968512623813,6.06384018358783e-06
Both-Neither,0.97,4,5.89678946740125,4.00190564028333e-06
One-Neither,0.97,4,-0.788529061596971,0.448475431214314
Both-One,0.98,4,5.48968512623813,6.06384018358783e-06
Both-Neither,0.98,4,5.85449872517841,4.19062886775228e-06
One-Neither,0.98,4,-0.809299479435737,0.43639726434962
Both-One,0.99,4,1.10925477525697,0.434880245911628
Both-Neither,0.99,4,4.95193423649277,5.97779685347134e-05
One-Neither,0.99,4,0.662644403391774,0.62511387991951
Both-One,0.9925,4,,
Both-Neither,0.9925,4,,
One-Neither,0.9925,4,,
Both-One,0.995,4,,
Both-Neither,0.995,4,,
One-Neither,0.995,4,,
Both-One,0.9,5,-1.33668416276086,0.185551803175472
Both-Neither,0.9,5,7.20132218779844,2.44272057667707e-08
One-Neither,0.9,5,7.60536971437946,1.56210446219848e-09
Both-One,0.91,5,-0.011813191832116,0.990614796889563
Both-Neither,0.91,5,7.23030586845297,2.21145444213184e-08
One-Neither,0.91,5,5.4342685896921,4.7688886067864e-06
Both-One,0.92,5,0.660831968818001,0.511481006438943
Both-Neither,0.92,5,7.27806657683021,1.84157680670533e-08
One-Neither,0.92,5,4.76568418855286,4.24638382290491e-05
Both-One,0.93,5,2.67860128653754,0.0105260686461991
Both-Neither,0.93,5,6.96128997699293,6.93544482952586e-08
One-Neither,0.93,5,2.30410222240716,0.0311156015477956
Both-One,0.94,5,2.85423898571996,0.00705973771615345
Both-Neither,0.94,5,6.96128997699293,6.93544482952586e-08
One-Neither,0.94,5,1.81092327706623,0.0856335056205796
Both-One,0.95,5,3.54614003232918,0.00108478266934685
Both-Neither,0.95,5,7.59367141692194,6.58023308618526e-08
One-Neither,0.95,5,1.80855571323781,0.0859979788731946
