Comparison,Threshold,Run,t,p
GlcGlc-CitCit,0.98,20,-0.227286850406733,0.820640047942948
GlcGlc-GlcCit,0.98,20,-13.2625865729173,3.39689384631069e-27
CitCit-GlcCit,0.98,20,-10.0999224705979,1.65996064125596e-17
GlcGlc-CitCit,0.98,21,-2.91348244044681,0.0040872917677948
GlcGlc-GlcCit,0.98,21,-14.6720368163913,7.63806403301302e-27
CitCit-GlcCit,0.98,21,-10.7712715037016,1.39856969902986e-19
GlcGlc-CitCit,0.98,22,0.922551043920923,0.35812209370995
GlcGlc-GlcCit,0.98,22,-9.2621960761286,4.59787632626861e-16
CitCit-GlcCit,0.98,22,-13.3133950939962,8.1184636561023e-24
GlcGlc-CitCit,0.98,23,5.58646659103695,7.23966188862733e-08
GlcGlc-GlcCit,0.98,23,-10.135484475129,2.9517312860511e-20
CitCit-GlcCit,0.98,23,-16.7487055555986,4.42894304451152e-35
GlcGlc-CitCit,0.98,24,5.1291001429329,5.78478519686506e-07
GlcGlc-GlcCit,0.98,24,-6.77091115778822,1.63578083926653e-10
CitCit-GlcCit,0.98,24,-12.7290344024304,1.76870435686591e-25
GlcGlc-CitCit,0.98,25,4.17316742388389,4.39645601757437e-05
GlcGlc-GlcCit,0.98,25,-13.0540808021083,9.11321891421056e-29
CitCit-GlcCit,0.98,25,-19.521537877224,4.70841824326639e-39
GlcGlc-CitCit,0.98,26,-0.237133690285756,0.812885548231669
GlcGlc-GlcCit,0.98,26,-3.86891233401622,0.000170287030299699
CitCit-GlcCit,0.98,26,-3.21825946162957,0.00161853151063552
GlcGlc-CitCit,0.98,27,-0.290525799378443,0.771823605179147
GlcGlc-GlcCit,0.98,27,-9.18760273672352,6.81154079841554e-16
CitCit-GlcCit,0.98,27,-7.9930845577036,7.35241349712709e-13
GlcGlc-CitCit,0.98,28,3.83042813612929,0.000162934327963476
GlcGlc-GlcCit,0.98,28,-10.4943115909422,1.83301516796186e-21
CitCit-GlcCit,0.98,28,-16.8483216428912,1.43434637231715e-37
GlcGlc-CitCit,0.98,29,1.73534485240772,0.0841259999629692
GlcGlc-GlcCit,0.98,29,-8.17500240253595,1.7042671684597e-14
CitCit-GlcCit,0.98,29,-9.97390790450411,7.53190668462888e-19
GlcGlc-CitCit,0.98,30,2.30542727345251,0.0219569936131149
GlcGlc-GlcCit,0.98,30,-13.145542071767,1.18883169742107e-27
CitCit-GlcCit,0.98,30,-15.1679005608914,5.82943072021185e-32
GlcGlc-CitCit,0.98,31,-0.429051589329201,0.668366268773138
GlcGlc-GlcCit,0.98,31,-11.5095152018375,1.03771879384408e-20
CitCit-GlcCit,0.98,31,-9.3587393746409,1.7855981080179e-16
GlcGlc-CitCit,0.98,32,3.81879500159203,0.000240226479372609
GlcGlc-GlcCit,0.98,32,-12.7992602640703,1.07209272924262e-29
CitCit-GlcCit,0.98,32,-13.3856630385729,1.88160743652081e-22
GlcGlc-CitCit,0.98,33,-0.625385062063325,0.533369371256908
GlcGlc-GlcCit,0.98,33,-7.67074316296054,2.00992045645086e-12
CitCit-GlcCit,0.98,33,-4.96954365009705,3.73381541542262e-06
GlcGlc-CitCit,0.98,34,-2.06339278893131,0.0417283557150669
GlcGlc-GlcCit,0.98,34,-14.0180801890602,1.23870117729283e-31
CitCit-GlcCit,0.98,34,-7.93491602308438,3.34923394840236e-12
GlcGlc-CitCit,0.98,35,0.976361166223856,0.329844936975781
GlcGlc-GlcCit,0.98,35,-9.72199419946256,8.49383417049992e-19
CitCit-GlcCit,0.98,35,-11.072240648889,3.95933240503458e-22
GlcGlc-CitCit,0.98,36,4.23730287750757,3.70281042555614e-05
GlcGlc-GlcCit,0.98,36,-5.38885056879519,4.63722650541039e-07
CitCit-GlcCit,0.98,36,-8.43913963551039,1.06015952034415e-13
GlcGlc-CitCit,0.98,37,2.8656816436793,0.00462048018469491
GlcGlc-GlcCit,0.98,37,-16.0243046057563,1.26279463756716e-38
CitCit-GlcCit,0.98,37,-18.5004539742084,2.6699198300832e-41
GlcGlc-CitCit,0.98,38,2.52580881039854,0.01238711623633
GlcGlc-GlcCit,0.98,38,-10.4967186044244,5.80259670185793e-22
CitCit-GlcCit,0.98,38,-10.9630315097705,1.22169259353113e-20
GlcGlc-CitCit,0.98,39,3.22679013386557,0.00147833485377398
GlcGlc-GlcCit,0.98,39,-13.0161122271647,3.81080304392372e-30
CitCit-GlcCit,0.98,39,-15.2739830061904,3.34041914309065e-32
GlcGlc-CitCit,0.98,40,-1.39608500006065,0.164522869987764
GlcGlc-GlcCit,0.98,40,-8.00503337902977,2.65747983463638e-13
CitCit-GlcCit,0.98,40,-6.07828954802452,9.96236061226594e-09
GlcGlc-CitCit,0.98,41,2.11669006378671,0.0357022037563579
GlcGlc-GlcCit,0.98,41,-8.07302134422043,2.6199799947384e-14
CitCit-GlcCit,0.98,41,-8.81259266726005,2.65420561997096e-15
GlcGlc-CitCit,0.98,42,0.255011828628445,0.799081256240123
GlcGlc-GlcCit,0.98,42,-18.3092417503407,7.44300400154534e-43
CitCit-GlcCit,0.98,42,-15.4742767607442,3.93038444396998e-32
GlcGlc-CitCit,0.98,43,-0.990442520615475,0.325487378792105
GlcGlc-GlcCit,0.98,43,-9.36474387966074,5.57051836697559e-15
CitCit-GlcCit,0.98,43,-5.67405424967136,1.75581869172549e-07
GlcGlc-CitCit,0.98,44,-0.39730292313963,0.691681511718076
GlcGlc-GlcCit,0.98,44,-15.2539832412951,1.21496677251193e-31
CitCit-GlcCit,0.98,44,-12.877016873605,3.45077362604909e-25
GlcGlc-CitCit,0.98,45,-4.07974764159393,7.62861508204625e-05
GlcGlc-GlcCit,0.98,45,-12.946766659059,3.23491504824308e-23
CitCit-GlcCit,0.98,45,-6.86906784624822,2.01636360008216e-10
GlcGlc-CitCit,0.98,46,1.58685681015852,0.114041257561371
GlcGlc-GlcCit,0.98,46,-15.5812104168332,2.69594309459168e-35
CitCit-GlcCit,0.98,46,-18.4721935386579,1.27932099670295e-38
GlcGlc-CitCit,0.98,47,-1.22380468189883,0.224143427732015
GlcGlc-GlcCit,0.98,47,-14.0168123435571,9.76834160120916e-28
CitCit-GlcCit,0.98,47,-8.17942496195506,1.01443940747599e-12
GlcGlc-CitCit,0.98,48,-2.25498718441575,0.0271014524858871
GlcGlc-GlcCit,0.98,48,-15.9724749335918,3.44217019200155e-28
CitCit-GlcCit,0.98,48,-9.02008139266949,1.32610082908415e-14
GlcGlc-CitCit,0.98,49,3.69216450132338,0.000293517508893919
GlcGlc-GlcCit,0.98,49,-8.8438894637654,1.11459969568479e-15
CitCit-GlcCit,0.98,49,-15.9341627107749,2.7953556953713e-33
GlcGlc-CitCit,0.98,50,1.75242324992374,0.0825098530187492
GlcGlc-GlcCit,0.98,50,-8.90915364188533,1.85871700082813e-15
CitCit-GlcCit,0.98,50,-8.69720644394435,4.70586364145479e-14
GlcGlc-CitCit,0.98,51,0.681769320510451,0.496329774193519
GlcGlc-GlcCit,0.98,51,-15.5408818840221,1.16951812079336e-34
CitCit-GlcCit,0.98,51,-13.9662305552655,4.68140917170077e-29
GlcGlc-CitCit,0.98,52,1.57140057909387,0.118281578316704
GlcGlc-GlcCit,0.98,52,-14.5888353466115,4.36224899337106e-36
CitCit-GlcCit,0.98,52,-14.6453652366716,3.39144191721776e-28
GlcGlc-CitCit,0.98,53,0.558862937364661,0.577259689250108
GlcGlc-GlcCit,0.98,53,-13.031081978251,9.64298970213084e-25
CitCit-GlcCit,0.98,53,-11.2326928576314,2.16428506029849e-20
GlcGlc-CitCit,0.98,54,0.229157372907566,0.819140911090801
GlcGlc-GlcCit,0.98,54,-8.48055335341649,3.66436877658053e-13
CitCit-GlcCit,0.98,54,-7.15830184118021,1.26665414482723e-10
GlcGlc-CitCit,0.98,55,1.3280212827016,0.185751559436302
GlcGlc-GlcCit,0.98,55,-10.2534176911128,7.44497354567731e-20
CitCit-GlcCit,0.98,55,-14.0463850002054,1.47746649158515e-29
GlcGlc-CitCit,0.98,56,-0.981991927871529,0.327856326192118
GlcGlc-GlcCit,0.98,56,-10.0946582459068,1.1704365552741e-17
CitCit-GlcCit,0.98,56,-7.83330624261802,2.00119081405406e-12
GlcGlc-CitCit,0.98,57,0.603818759573338,0.546500561219585
GlcGlc-GlcCit,0.98,57,-15.5354816103357,2.41106208451593e-38
CitCit-GlcCit,0.98,57,-14.8365399822888,2.02532403025652e-33
GlcGlc-CitCit,0.98,58,-2.04423903114159,0.0430925780965985
GlcGlc-GlcCit,0.98,58,-15.2416272495682,1.42841091137989e-31
CitCit-GlcCit,0.98,58,-10.51739872067,3.37257452910258e-20
GlcGlc-CitCit,0.98,59,2.74230848829889,0.00672969648095123
GlcGlc-GlcCit,0.98,59,-9.71603788137002,1.98224334562425e-17
CitCit-GlcCit,0.98,59,-12.3845613746143,5.61222623653932e-23
GlcGlc-CitCit,0.98,60,3.95800059454037,0.000104330322257
GlcGlc-GlcCit,0.98,60,-15.6380382557235,1.96263446065756e-39
CitCit-GlcCit,0.98,60,-22.0036820009166,4.21991749159622e-47
GlcGlc-CitCit,0.98,61,-0.87165352019067,0.385261052400879
GlcGlc-GlcCit,0.98,61,-15.9333376987365,2.20682925225379e-33
CitCit-GlcCit,0.98,61,-10.7022602920717,5.26367969421925e-19
GlcGlc-CitCit,0.98,62,5.16729782757506,1.15560507145259e-06
GlcGlc-GlcCit,0.98,62,-6.29384957617274,4.58680858422381e-08
CitCit-GlcCit,0.98,62,-9.75677198405763,1.81025462179865e-14
GlcGlc-CitCit,0.98,63,-0.161653143826006,0.87194831011892
GlcGlc-GlcCit,0.98,63,-12.6075625012555,2.3902674349727e-25
CitCit-GlcCit,0.98,63,-9.31551940997349,1.06457573008458e-14
GlcGlc-CitCit,0.98,64,3.81560277094962,0.000173010716347517
GlcGlc-GlcCit,0.98,64,-11.2651857305497,2.57432245849421e-24
CitCit-GlcCit,0.98,64,-16.5098501769853,2.34120303844006e-41
GlcGlc-CitCit,0.98,65,2.52063876829879,0.0126081958140462
GlcGlc-GlcCit,0.98,65,-10.8510132198993,1.41090094941765e-19
CitCit-GlcCit,0.98,65,-13.30088422488,8.98366377004246e-24
GlcGlc-CitCit,0.98,66,1.2771141464126,0.203374945398389
GlcGlc-GlcCit,0.98,66,-4.21797115222865,4.49536866855948e-05
CitCit-GlcCit,0.98,66,-5.33080586876563,4.75690500601922e-07
GlcGlc-CitCit,0.98,67,1.60678034707255,0.110835065789168
GlcGlc-GlcCit,0.98,67,-8.22422002136877,8.64444988535253e-14
CitCit-GlcCit,0.98,67,-8.20834301801692,1.46392951966138e-13
GlcGlc-CitCit,0.98,68,0.537959178925843,0.59129763877089
GlcGlc-GlcCit,0.98,68,-13.128352868816,1.10134304678515e-26
CitCit-GlcCit,0.98,68,-13.9896983656923,5.71200494915474e-27
GlcGlc-CitCit,0.98,69,1.03736731548021,0.300889794050978
GlcGlc-GlcCit,0.98,69,-18.5965153860139,5.06435410702026e-52
CitCit-GlcCit,0.98,69,-17.1982057184452,1.58871022220403e-36
GlcGlc-CitCit,0.98,70,0.649977035509012,0.516526376543136
GlcGlc-GlcCit,0.98,70,-12.0838591442166,7.40855775371261e-21
CitCit-GlcCit,0.98,70,-12.0753001870855,2.97480196679535e-21
GlcGlc-CitCit,0.98,71,2.59552007517545,0.0100730710025342
GlcGlc-GlcCit,0.98,71,-11.6936165991796,5.81856095839078e-24
CitCit-GlcCit,0.98,71,-13.6194811796152,5.1620766447163e-29
GlcGlc-CitCit,0.98,72,4.19502514134198,4.43560162097493e-05
GlcGlc-GlcCit,0.98,72,-9.84281337675177,1.08338599750748e-17
CitCit-GlcCit,0.98,72,-16.6246943678471,3.45528730337088e-27
GlcGlc-CitCit,0.98,73,3.69116252738429,0.000271952191184312
GlcGlc-GlcCit,0.98,73,-11.7668935533834,1.56481085130331e-26
CitCit-GlcCit,0.98,73,-15.2479513284467,1.98729531032636e-35
GlcGlc-CitCit,0.98,74,0.529998906773071,0.596675659392077
GlcGlc-GlcCit,0.98,74,-9.40204543305833,2.99789125807423e-16
CitCit-GlcCit,0.98,74,-10.9394501820275,6.58696578349528e-19
GlcGlc-CitCit,0.98,75,1.85481954018926,0.0689208553668404
GlcGlc-GlcCit,0.98,75,-12.9994577073944,1.22848924952172e-23
CitCit-GlcCit,0.98,75,-11.2049786930076,7.6402091318059e-18
GlcGlc-CitCit,0.98,76,-1.35357183766856,0.178393764178502
GlcGlc-GlcCit,0.98,76,-14.2298101331125,3.18520551023898e-33
CitCit-GlcCit,0.98,76,-8.02955887371791,9.72474799838442e-13
GlcGlc-CitCit,0.98,77,-0.866000211907809,0.39012089608744
